

/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 01survey.b   01  V 22
/datum  49000.00
/ 047.8081818   107.5737490 
/UTC
/time nT sq 
220726.0  59152.57 95 
220729.0  59152.60 95 
220732.0  59152.56 95 
220735.0  59152.65 95 
220738.0  59152.49 95 
220741.0  59152.48 95 
220744.0  59152.59 95 
220747.0  59152.54 95 
220750.0  59152.55 95 
220753.0  59152.60 95 
220756.0  59152.53 95 
220759.0  59152.54 95 
220802.0  59152.60 95 
220805.0  59152.58 95 
220808.0  59152.56 96 
220811.0  59152.60 95 
220814.0  59152.48 95 
220817.0  59152.50 95 
220820.0  59152.59 95 
220823.0  59152.53 95 
220826.0  59152.51 95 
220829.0  59152.65 95 
220832.0  59152.51 95 
220835.0  59152.55 96 
220838.0  59152.55 95 
220841.0  59152.49 96 
220844.0  59152.52 96 
220847.0  59152.62 95 
220850.0  59152.55 96 
220853.0  59152.56 95 
220856.0  59152.59 95 
220859.0  59152.50 96 
220902.0  59152.47 95 
220905.0  59152.63 95 
220908.0  59152.55 95 
220911.0  59152.55 95 
220914.0  59152.64 95 
220917.0  59152.56 96 
220920.0  59152.55 95 
220923.0  59152.63 95 
220926.0  59152.58 96 
220929.0  59152.53 95 
220932.0  59152.68 95 
220935.0  59152.56 95 
220938.0  59152.59 95 
220941.0  59152.62 95 
220944.0  59152.58 96 
220947.0  59152.57 95 
220950.0  59152.68 95 
220953.0  59152.58 95 
220956.0  59152.64 95 
220959.0  59152.68 95 
221002.0  59152.58 96 
221005.0  59152.61 95 
221008.0  59152.72 95 
221011.0  59152.60 95 
221014.0  59152.65 95 
221017.0  59152.66 95 
221020.0  59152.57 96 
221023.0  59152.60 95 
221026.0  59152.64 95 
221029.0  59152.56 96 
221032.0  59152.59 95 
221035.0  59152.67 95 
221038.0  59152.62 96 
221041.0  59152.64 96 
221044.0  59152.67 95 
221047.0  59152.55 96 
221050.0  59152.56 95 
221053.0  59152.71 95 
221056.0  59152.58 96 
221059.0  59152.62 95 
221102.0  59152.63 95 
221105.0  59152.61 96 
221108.0  59152.57 95 
221111.0  59152.70 95 
221114.0  59152.61 95 
221117.0  59152.62 95 
221120.0  59152.64 95 
221123.0  59152.60 96 
221126.0  59152.59 96 
221129.0  59152.72 95 
221132.0  59152.58 96 
221135.0  59152.59 95 
221138.0  59152.58 96 
221141.0  59152.65 95 
221144.0  59152.54 95 
221147.0  59152.60 95 
221150.0  59152.66 95 
221153.0  59152.54 96 
221156.0  59152.62 95 
221159.0  59152.59 95 
221202.0  59152.60 95 
221205.0  59152.66 95 
221208.0  59152.61 96 
221211.0  59152.56 95 
221214.0  59152.64 95 
221217.0  59152.56 96 
221220.0  59152.57 95 
221223.0  59152.62 95 
221226.0  59152.54 96 
221229.0  59152.53 96 
221232.0  59152.65 95 
221235.0  59152.54 96 
221238.0  59152.59 96 
221241.0  59152.62 95 
221244.0  59152.51 96 
221247.0  59152.53 95 
221250.0  59152.62 95 
221253.0  59152.58 96 
221256.0  59152.55 95 
221259.0  59152.63 95 
221302.0  59152.52 96 
221305.0  59152.54 96 
221308.0  59152.65 95 
221311.0  59152.57 95 
221314.0  59152.57 95 
221317.0  59152.64 95 
221320.0  59152.52 96 
221323.0  59152.49 95 
221326.0  59152.66 95 
221329.0  59152.57 96 
221332.0  59152.56 95 
221335.0  59152.62 95 
221338.0  59152.53 96 
221341.0  59152.54 96 
221344.0  59152.60 95 
221347.0  59152.61 95 
221350.0  59152.51 95 
221353.0  59152.56 95 
221356.0  59152.53 96 
221359.0  59152.52 95 
221402.0  59152.62 95 
221405.0  59152.55 96 
221408.0  59152.55 95 
221411.0  59152.59 95 
221414.0  59152.49 96 
221417.0  59152.50 96 
221420.0  59152.63 95 
221423.0  59152.51 95 
221426.0  59152.55 95 
221429.0  59152.56 95 
221432.0  59152.53 95 
221435.0  59152.49 96 
221438.0  59152.53 95 
221441.0  59152.43 95 
221444.0  59152.48 96 
221447.0  59152.46 95 
221450.0  59152.40 95 
221453.0  59152.41 96 
221456.0  59152.51 95 
221459.0  59152.40 96 
221502.0  59152.40 96 
221505.0  59152.44 95 
221508.0  59152.42 96 
221511.0  59152.40 96 
221514.0  59152.46 95 
221517.0  59152.39 96 
221520.0  59152.42 96 
221523.0  59152.47 95 
221526.0  59152.37 96 
221529.0  59152.37 96 
221532.0  59152.49 95 
221535.0  59152.40 96 
221538.0  59152.41 96 
221541.0  59152.46 95 
221544.0  59152.41 96 
221547.0  59152.39 96 
221550.0  59152.47 95 
221553.0  59152.41 96 
221556.0  59152.40 95 
221559.0  59152.44 95 
221602.0  59152.50 95 
221605.0  59152.42 96 
221608.0  59152.43 96 
221611.0  59152.51 95 
221614.0  59152.40 96 
221617.0  59152.41 96 
221620.0  59152.48 95 
221623.0  59152.42 96 
221626.0  59152.40 95 
221629.0  59152.51 95 
221632.0  59152.38 96 
221635.0  59152.38 95 
221638.0  59152.46 95 
221641.0  59152.42 96 
221644.0  59152.38 96 
221647.0  59152.48 95 
221650.0  59152.39 96 
221653.0  59152.39 96 
221656.0  59152.49 95 
221659.0  59152.42 96 
221702.0  59152.45 96 
221705.0  59152.48 95 
221708.0  59152.37 96 
221711.0  59152.44 95 
221714.0  59152.50 95 
221717.0  59152.42 96 
221720.0  59152.42 96 
221723.0  59152.54 95 
221726.0  59152.43 96 
221729.0  59152.43 96 
221732.0  59152.52 95 
221735.0  59152.43 96 
221738.0  59152.45 96 
221741.0  59152.54 95 
221744.0  59152.44 96 
221747.0  59152.42 96 
221750.0  59152.53 95 
221753.0  59152.43 96 
221756.0  59152.45 96 
221759.0  59152.54 95 
221802.0  59152.41 96 
221805.0  59152.41 96 
221808.0  59152.54 95 
221811.0  59152.44 96 
221814.0  59152.45 96 
221817.0  59152.57 95 
221820.0  59152.48 96 
221823.0  59152.43 96 
221826.0  59152.55 95 
221829.0  59152.45 96 
221832.0  59152.44 96 
221835.0  59152.52 95 
221838.0  59152.42 96 
221841.0  59152.42 95 
221844.0  59152.53 95 
221847.0  59152.39 96 
221850.0  59152.47 96 
221853.0  59152.49 95 
221856.0  59152.42 96 
221859.0  59152.40 96 
221902.0  59152.49 95 
221905.0  59152.42 96 
221908.0  59152.41 96 
221911.0  59152.51 95 
221914.0  59152.45 96 
221917.0  59152.40 96 
221920.0  59152.48 95 
221923.0  59152.45 96 
221926.0  59152.41 95 
221929.0  59152.54 95 
221932.0  59152.42 96 
221935.0  59152.43 96 
221938.0  59152.54 95 
221941.0  59152.46 96 
221944.0  59152.45 96 
221947.0  59152.52 95 
221950.0  59152.41 96 
221953.0  59152.44 96 
221956.0  59152.47 95 
221959.0  59152.40 96 
222002.0  59152.41 96 
222005.0  59152.47 95 
222008.0  59152.37 96 
222011.0  59152.37 96 
222014.0  59152.49 95 
222017.0  59152.38 96 
222020.0  59152.44 96 
222023.0  59152.48 95 
222026.0  59152.41 96 
222029.0  59152.36 96 
222032.0  59152.48 95 
222035.0  59152.43 96 
222038.0  59152.37 96 
222041.0  59152.48 95 
222044.0  59152.36 96 
222047.0  59152.35 96 
222050.0  59152.48 95 
222053.0  59152.40 96 
222056.0  59152.38 96 
222059.0  59152.44 95 
222102.0  59152.40 96 
222105.0  59152.41 96 
222108.0  59152.46 95 
222111.0  59152.40 96 
222114.0  59152.38 96 
222117.0  59152.43 95 
222120.0  59152.36 96 
222123.0  59152.34 96 
222126.0  59152.41 95 
222129.0  59152.33 96 
222132.0  59152.32 96 
222135.0  59152.35 85 
222138.0  59152.32 96 
222141.0  59152.27 96 
222144.0  59152.37 95 
222147.0  59152.28 96 
222150.0  59152.31 96 
222153.0  59152.33 95 
222156.0  59152.29 96 
222159.0  59152.28 96 
222202.0  59152.34 95 
222205.0  59152.23 96 
222208.0  59152.28 96 
222211.0  59152.31 95 
222214.0  59152.27 96 
222217.0  59152.24 96 
222220.0  59152.33 95 
222223.0  59152.25 96 
222226.0  59152.27 96 
222229.0  59152.32 95 
222232.0  59152.25 96 
222235.0  59152.27 96 
222238.0  59152.32 95 
222241.0  59152.28 96 
222244.0  59152.24 96 
222247.0  59152.29 95 
222250.0  59152.29 96 
222253.0  59152.24 96 
222256.0  59152.31 95 
222259.0  59152.23 96 
222302.0  59152.22 96 
222305.0  59152.27 95 
222308.0  59152.20 96 
222311.0  59152.23 96 
222314.0  59152.25 95 
222317.0  59152.18 96 
222320.0  59152.20 96 
222323.0  59152.25 95 
222326.0  59152.20 96 
222329.0  59152.21 96 
222332.0  59152.27 95 
222335.0  59152.22 96 
222338.0  59152.23 96 
222341.0  59152.33 95 
222344.0  59152.24 96 
222347.0  59152.25 96 
222350.0  59152.24 95 
222353.0  59152.25 96 
222356.0  59152.26 96 
222359.0  59152.33 95 
222402.0  59152.27 96 
222405.0  59152.30 96 
222408.0  59152.33 95 
222411.0  59152.28 96 
222414.0  59152.27 96 
222417.0  59152.34 95 
222420.0  59152.26 96 
222423.0  59152.25 96 
222426.0  59152.30 95 
222429.0  59152.23 96 
222432.0  59152.22 96 
222435.0  59152.32 95 
222438.0  59152.19 96 
222441.0  59152.16 96 
222444.0  59152.26 95 
222447.0  59152.18 96 
222450.0  59152.12 96 
222453.0  59152.25 95 
222456.0  59152.18 96 
222459.0  59152.21 96 
222502.0  59152.29 95 
222505.0  59152.26 96 
222508.0  59152.24 96 
222511.0  59152.22 95 
222514.0  59152.19 96 
222517.0  59152.18 96 
222520.0  59152.24 96 
222523.0  59152.24 96 
222526.0  59152.23 96 
222529.0  59152.28 95 
222532.0  59152.19 96 
222535.0  59152.19 96 
222538.0  59152.19 95 
222541.0  59152.16 96 
222544.0  59152.16 96 
222547.0  59152.21 95 
222550.0  59152.15 96 
222553.0  59152.18 96 
222556.0  59152.21 96 
222559.0  59152.14 96 
222602.0  59152.15 96 
222605.0  59152.18 95 
222608.0  59152.18 96 
222611.0  59152.12 96 
222614.0  59152.23 95 
222617.0  59152.17 96 
222620.0  59152.21 96 
222623.0  59152.25 95 
222626.0  59152.23 96 
222629.0  59152.16 96 
222632.0  59152.27 95 
222635.0  59152.18 96 
222638.0  59152.14 96 
222641.0  59152.18 95 
222644.0  59152.14 96 
222647.0  59152.18 96 
222650.0  59152.22 95 
222653.0  59152.13 96 
222656.0  59152.13 96 
222659.0  59152.18 95 
222702.0  59152.10 96 
222705.0  59152.11 96 
222708.0  59152.17 95 
222711.0  59152.09 96 
222714.0  59152.15 95 
222717.0  59152.10 95 
222720.0  59152.04 96 
222723.0  59152.05 96 
222726.0  59152.11 95 
222729.0  59152.05 96 
222732.0  59152.07 96 
222735.0  59152.13 95 
222738.0  59152.09 96 
222741.0  59152.11 96 
222744.0  59152.09 95 
222747.0  59152.04 96 
222750.0  59152.01 96 
222753.0  59152.03 95 
222756.0  59151.99 96 
222759.0  59151.97 96 
222802.0  59152.01 95 
222805.0  59151.97 96 
222808.0  59152.04 96 
222811.0  59152.10 95 
222814.0  59152.03 96 
222817.0  59152.03 96 
222820.0  59151.99 95 
222823.0  59152.02 96 
222826.0  59151.97 96 
222829.0  59151.97 95 
222832.0  59152.00 96 
222835.0  59152.05 96 
222838.0  59152.08 95 
222841.0  59152.01 96 
222844.0  59151.99 96 
222847.0  59152.02 95 
222850.0  59151.94 96 
222853.0  59151.96 96 
222856.0  59151.92 95 
222859.0  59151.96 96 
222902.0  59151.91 96 
222905.0  59152.00 95 
222908.0  59152.00 96 
222911.0  59151.97 96 
222914.0  59151.93 95 
222917.0  59151.92 96 
222920.0  59151.89 96 
222923.0  59151.96 95 
222926.0  59151.92 96 
222929.0  59151.89 96 
222932.0  59151.89 95 
222935.0  59151.91 95 
222938.0  59151.91 96 
222941.0  59151.96 95 
222944.0  59151.92 96 
222947.0  59151.93 96 
222950.0  59151.94 95 
222953.0  59151.87 96 
222956.0  59151.88 96 
222959.0  59151.83 95 
223002.0  59151.88 96 
223005.0  59151.92 96 
223008.0  59151.93 95 
223011.0  59151.89 96 
223014.0  59151.90 96 
223017.0  59151.92 95 
223020.0  59151.90 96 
223023.0  59151.87 96 
223026.0  59151.92 95 
223029.0  59151.93 96 
223032.0  59151.95 96 
223035.0  59151.93 95 
223038.0  59151.93 96 
223041.0  59151.96 96 
223044.0  59151.91 95 
223047.0  59151.88 96 
223050.0  59151.86 96 
223053.0  59151.85 95 
223056.0  59151.92 96 
223059.0  59151.93 96 
223102.0  59152.00 95 
223105.0  59151.99 96 
223108.0  59151.88 96 
223111.0  59151.87 95 
223114.0  59151.88 96 
223117.0  59151.92 96 
223120.0  59151.87 95 
223123.0  59151.93 96 
223126.0  59151.86 96 
223129.0  59151.82 95 
223132.0  59151.83 96 
223135.0  59151.86 96 
223138.0  59151.89 95 
223141.0  59151.97 96 
223144.0  59151.94 96 
223147.0  59151.90 96 
223150.0  59151.87 96 
223153.0  59151.81 96 
223156.0  59151.82 95 
223159.0  59151.84 96 
223202.0  59151.87 96 
223205.0  59151.88 95 
223208.0  59151.97 96 
223211.0  59151.97 96 
223214.0  59151.94 95 
223217.0  59151.92 96 
223220.0  59151.88 96 
223223.0  59151.88 95 
223226.0  59151.90 96 
223229.0  59151.89 96 
223232.0  59151.92 95 
223235.0  59151.85 96 
223238.0  59151.88 96 
223241.0  59151.78 95 
223244.0  59151.81 96 
223247.0  59151.81 96 
223250.0  59151.86 95 
223253.0  59151.89 96 
223256.0  59151.80 96 
223259.0  59151.88 95 
223302.0  59151.82 96 
223305.0  59151.80 96 
223308.0  59151.88 95 
223311.0  59151.87 96 
223314.0  59151.85 96 
223317.0  59151.87 95 
223320.0  59151.89 96 
223323.0  59151.87 96 
223326.0  59151.85 95 
223329.0  59151.78 96 
223332.0  59151.76 96 
223335.0  59151.85 95 
223338.0  59151.86 96 
223341.0  59151.87 96 
223344.0  59151.85 95 
223347.0  59151.82 96 
223350.0  59151.72 96 
223353.0  59151.75 95 
223356.0  59151.72 96 
223359.0  59151.80 96 
223402.0  59151.77 95 
223405.0  59151.80 96 
223408.0  59151.72 96 
223411.0  59151.73 95 
223414.0  59151.74 96 
223417.0  59151.77 96 
223420.0  59151.79 95 
223423.0  59151.81 96 
223426.0  59151.74 96 
223429.0  59151.71 95 
223432.0  59151.63 96 
223435.0  59151.68 96 
223438.0  59151.76 95 
223441.0  59151.72 96 
223444.0  59151.78 96 
223447.0  59151.78 95 
223450.0  59151.73 96 
223453.0  59151.74 96 
223456.0  59151.73 95 
223459.0  59151.69 96 
223502.0  59151.69 96 
223505.0  59151.69 75 
223508.0  59151.68 96 
223511.0  59151.66 96 
223514.0  59151.60 95 
223517.0  59151.67 96 
223520.0  59151.67 96 
223523.0  59151.65 95 
223526.0  59151.69 96 
223529.0  59151.64 96 
223532.0  59151.74 95 
223535.0  59151.67 96 
223538.0  59151.69 96 
223541.0  59151.73 95 
